family,policy,snr_db_mean,ci_low,ci_high
high_blockage,no_adaptation,-32.307429580177065,-34.011020468484865,-30.603838691869264
high_blockage,static,-15.062006996052745,-16.432426993862244,-13.691586998243247
high_blockage,local_only,-18.67996264708821,-20.62919159268209,-16.73073370149433
high_blockage,cloud_only,-5.119813821269223,-5.605304271223452,-4.634323371314994
high_blockage,edge_only,-6.223002718425073,-6.462327986448224,-5.983677450401923
high_blockage,rule_based,-21.148298137194796,-24.258111393697114,-18.03848488069248
high_blockage,optimization_based,-6.223002718425073,-6.462327986448224,-5.983677450401923
high_blockage,twin_informed,-11.473223840014857,-12.02232136637945,-10.924126313650264
high_blockage,information_equivalent,-28.027743778800584,-28.70786390679237,-27.3476236508088
high_blockage,exhaustive_oracle,-5.119813821269223,-5.605304271223452,-4.634323371314994
high_mobility,no_adaptation,-23.301010728172432,-25.112227309317973,-21.489794147026892
high_mobility,static,-7.241800324665931,-8.595120213085757,-5.888480436246105
high_mobility,local_only,-9.637983997301205,-10.196603388006373,-9.079364606596037
high_mobility,cloud_only,2.044855479172628,1.1713955798916744,2.918315378453581
high_mobility,edge_only,0.4076411802079166,-0.72303867095822,1.5383210313740534
high_mobility,rule_based,-13.627206401186395,-16.08447836079212,-11.169934441580674
high_mobility,optimization_based,0.4076411802079166,-0.72303867095822,1.5383210313740534
high_mobility,twin_informed,-2.9588478399294815,-4.1446633274206715,-1.773032352438292
high_mobility,information_equivalent,-19.129035620812648,-21.23610088133142,-17.021970360293874
high_mobility,exhaustive_oracle,2.044855479172628,1.1713955798916744,2.918315378453581
