policy,snr_db_mean,snr_db_ci_low,snr_db_ci_high,db_loss_vs_oracle,top1_match_oracle,n_beam_switches,compute_time_ms,cohens_d_vs_no_adaptation
no_adaptation,-25.249832929709775,-26.569901041959575,-23.929764817459976,27.776162853312325,0.003125,0.0,0.018005187121161725,0.0
static,-7.565493540295124,-8.404067228874009,-6.726919851716239,10.091823463897672,0.1453125,0.0,0.14092493856878718,19.853135287657583
local_only,-10.294610325806934,-10.921045513960118,-9.66817513765375,12.82094024940948,0.0890625,5.8,0.14354316099343123,17.969802810210318
cloud_only,2.5263299236025474,1.7954322670735001,3.2572275801315946,0.0,1.0,6.7625,1.0242730137179024,32.31916298134288
edge_only,1.318175082501027,0.5571412892431239,2.07920887575893,1.2081548411015206,0.7390625,6.7125,0.39889267518447014,30.61262087420294
rule_based,-14.776761601946827,-16.458644732244124,-13.09487847164953,17.303091525549373,0.0453125,4.025,0.12580978691403288,8.60009303509688
optimization_based,1.318175082501027,0.5571412892431239,2.07920887575893,1.2081548411015206,0.7390625,6.7125,0.3830790463325684,30.61262087420294
twin_informed,-3.61775918334004,-4.672684275034536,-2.562834091645544,6.144089106942587,0.2921875,6.8125,0.3847634776320774,22.475562926263756
information_equivalent,-21.375751331657163,-23.438714957699116,-19.31278770561521,23.90208125525971,0.0078125,6.8875,0.10794330173666822,2.777157786380944
exhaustive_oracle,2.5263299236025474,1.7954322670735001,3.2572275801315946,0.0,1.0,6.7625,1.046377615421079,32.31916298134288
