policy,snr_db_mean,snr_db_ci_low,snr_db_ci_high,db_loss_vs_oracle,top1_match_oracle,n_beam_switches,compute_time_ms,cohens_d_vs_no_adaptation
no_adaptation,-24.598850771769285,-27.688471954613686,-21.509229588924885,27.417825834113437,0.0,0.0,0.01886630452645477,0.0
static,-7.736158445330579,-9.425579915491003,-6.0467369751701545,10.555133507674734,0.1578125,0.0,0.14422615240619052,8.407506520128972
local_only,-9.800409504690318,-12.009193257736168,-7.591625751644468,12.619384567034473,0.084375,5.6875,0.1303681761783082,6.840932049362522
cloud_only,2.8189750623441547,2.320779257324821,3.3171708673634885,0.0,1.0,6.6875,1.0329367654776433,15.381665038352894
edge_only,1.8393643263275827,1.3572556067279247,2.321473045927241,0.9796107360165722,0.7453125,6.625,0.3852483998343814,14.84404972407638
rule_based,-15.800885314304855,-18.48004072842545,-13.12172990018426,18.619860376649008,0.0375,3.8625,0.12705869758065091,3.7771688421989404
optimization_based,1.8393643263275827,1.3572556067279247,2.321473045927241,0.9796107360165722,0.7453125,6.625,0.3980501283876947,14.84404972407638
twin_informed,-4.434510345573776,-6.437308324720295,-2.431712366427258,7.253485407917931,0.2796875,6.6875,0.39882768851384753,9.615067561233783
information_equivalent,-23.756618658619498,-26.076143444024932,-21.437093873214064,26.57559372096365,0.0,6.9,0.11236185073357774,0.38274559431620353
exhaustive_oracle,2.8189750623441547,2.320779257324821,3.3171708673634885,0.0,1.0,6.6875,1.031169264933851,15.381665038352894
