ablation,policy,snr_db_mean,ci_low,ci_high
full,twin_informed,-3.61775918334004,-4.672684275034536,-2.562834091645544
full,information_equivalent,-21.375751331657163,-23.438714957699116,-19.31278770561521
no_aoa_hint,twin_informed,1.318175082501027,0.5571412892431239,2.07920887575893
no_aoa_hint,information_equivalent,-25.249832929709775,-26.569901041959575,-23.929764817459976
reduced_codebook,twin_informed,-5.829099792035548,-7.485601238174228,-4.172598345896867
reduced_codebook,information_equivalent,-21.588865434384577,-22.794268678369875,-20.38346219039928
no_mobility,twin_informed,-3.380998479807924,-3.920129298946108,-2.84186766066974
no_mobility,information_equivalent,-22.434636251420805,-24.0432756560634,-20.82599684677821
